"observation.id","group_sex","first.five.activity","group_size"
912,"Mixed","Travel",2
913,"All Female","Forage",1
914,"All Female","Forage",1
915,"All Female","Forage",2
916,"All Female","Forage",1
917,"All Female","Forage",1
918,"All Male","Forage",1
919,"All Female","Forage",1
920,"All Male","Forage",1
921,"All Female","Forage",1
922,"All Female","Forage",1
923,"All Female","Forage",1
924,"All Female","Other",2
925,"Mixed","Other",5
926,"All Female","Forage",1
927,"Mixed","Forage",3
928,"All Female","Forage",1
929,"All Male","Travel",1
930,"All Male","Rest",3
931,"Mixed","Forage",2
932,"All Female","Forage",1
933,"All Male","Forage",2
934,"All Female","Forage",1
935,"All Female","Forage",2
936,"All Male","Forage",3
937,"All Female","Forage",1
938,"All Female","Forage",2
939,"All Male","Rest",3
940,"All Male","Forage",1
941,"All Male","Forage",1
942,"All Female","Forage",1
943,"All Female","Forage",1
944,"All Female","Forage",1
945,"All Male","Forage",1
946,"All Female","Forage",1
947,"All Female","Forage",1
948,"All Female","Travel",1
949,"All Female","Forage",1
950,"Mixed","Forage",2
951,"All Female","Forage",1
952,"Mixed","Rest",3
953,"All Female","Forage",3
954,"All Female","Forage",1
955,"All Female","Forage",1
956,"All Female","Forage",1
957,"All Female","Forage",1
958,"Mixed","Forage",2
959,"All Female","Forage",1
960,"All Female","Forage",1
961,"All Male","Other",1
962,"All Female","Forage",1
963,"All Female","Forage",1
964,"All Female","Forage",1
965,"Mixed","Forage",2
966,"All Female","Forage",1
967,"All Male","Forage",1
968,"All Female","Forage",1
969,"All Female","Other",1
970,"Mixed","Forage",1
971,"All Female","Forage",2
972,"All Female","Forage",1
973,"Mixed","Travel",2
974,"All Male","Social",4
975,"All Female","Forage",1
976,"Mixed","Social",7
977,"All Female","Forage",2
978,"All Female","Other",1
979,"All Female","Other",1
980,"All Female","Forage",1
981,"All Male","Forage",1
982,"All Female","Other",2
983,"All Male","Forage",1
984,"All Female","Forage",1
985,"All Male","Forage",1
986,"Mixed","Forage",3
987,"All Female","Other",1
988,"All Female","Forage",1
989,"Mixed","Travel",2
990,"Mixed","Forage",1
991,"All Female","Forage",1
992,"All Female","Forage",1
993,"Mixed","Forage",4
994,"All Female","Forage",1
995,"Mixed","Forage",2
996,"All Female","Forage",1
997,"All Female","Forage",2
998,"All Female","Forage",1
999,"All Male","Other",1
1000,"All Female","Forage",1
1001,"All Male","Travel",2
1002,"Mixed","Forage",2
1003,"All Female","Forage",1
1004,"Mixed","Travel",2
1005,"Mixed","Rest",4
1006,"All Male","Forage",1
1007,"All Male","Forage",1
1008,"All Female","Travel",2
1009,"All Female","Forage",1
1010,"All Male","Travel",1
1011,"All Female","Forage",1
1012,"All Male","Travel",1
1013,"All Female","Rest",1
1014,"All Male","Forage",1
1015,"All Female","Forage",1
1016,"All Male","Forage",1
1017,"All Male","Rest",2
1018,"All Female","Forage",1
1019,"All Male","Forage",1
1020,"All Female","Other",2
1021,"All Male","Forage",1
1022,"All Female","Rest",1
1023,"All Female","Forage",1
1024,"All Female","Rest",1
1025,"All Female","Travel",1
1026,"All Male","Forage",1
1027,"All Male","Other",2
1028,"All Female","Forage",2
1029,"All Female","Forage",1
1030,"All Female","Travel",1
1031,"All Female","Rest",2
1032,"All Male","Travel",1
1033,"All Female","Forage",1
1034,"All Female","Forage",1
1035,"All Female","Forage",1
1036,"All Male","Travel",1
1037,"All Female","Forage",1
1038,"Mixed","Rest",2
1039,"All Female","Forage",1
1040,"All Male","Rest",2
1041,"All Female","Forage",1
1042,"All Female","Forage",1
1043,"All Female","Forage",2
1044,"Mixed","Forage",1
1045,"All Male","Forage",1
1046,"All Male","Forage",1
1047,"All Male","Forage",2
1048,"All Male","Travel",1
1049,"All Male","Forage",1
1050,"All Female","Travel",1
1051,"All Male","Forage",1
1052,"All Female","Forage",1
1053,"All Female","Forage",1
1054,"All Female","Forage",1
1055,"All Male","Travel",1
1056,"All Male","Rest",2
1057,"All Female","Forage",1
1058,"All Female","Forage",1
1059,"All Female","Forage",1
1060,"All Female","Forage",1
